부품ID,랙타입,부품명,규격,단가,표시명,출처,비고,카테고리
하이랙-60x200기둥-,하이랙,60x200 블루기둥,,25000,하이랙 60x200 블루기둥,extra_options,,추가상품3 (270kg 기둥추가)
하이랙-60x200선반450kg-,하이랙,60x200 선반(450kg),,35500,하이랙 60x200 선반(450kg),extra_options,,추가상품4 (450kg 메트그레이 기둥 및 선반추가)
하이랙-60x200선반-,하이랙,60x200 오렌지선반,,25000,하이랙 60x200 오렌지선반,extra_options,,추가상품2 (270kg 오렌지 선반추가)
하이랙-60x250기둥450kg-,하이랙,60x250 기둥(450kg),,43000,하이랙 60x250 기둥(450kg),extra_options,,추가상품4 (450kg 메트그레이 기둥 및 선반추가)
하이랙-80x108선반+빔-,하이랙,80x108 블루선반+오렌지빔,,81000,하이랙 80x108 블루선반+오렌지빔,extra_options,,추가상품6 (550kg 블루+오렌지 단추가)
하이랙-80x150선반+빔-,하이랙,80x150 블루선반+오렌지빔,,122000,하이랙 80x150 블루선반+오렌지빔,extra_options,,추가상품6 (550kg 블루+오렌지 단추가)
하이랙-80x200선반+빔-,하이랙,80x200 블루선반+오렌지빔,,158000,하이랙 80x200 블루선반+오렌지빔,extra_options,,추가상품6 (550kg 블루+오렌지 단추가)
하이랙-60x108선반450kg-,하이랙,60x108 선반(450kg),,25000,하이랙 60x108 선반(450kg),extra_options,,추가상품5 (450kg 블루+오렌지 기둥 및 선반추가)
하이랙-60x150기둥450kg-,하이랙,60x150 기둥(450kg),,39000,하이랙 60x150 기둥(450kg),extra_options,,추가상품5 (450kg 블루+오렌지 기둥 및 선반추가)
하이랙-60x150선반450kg-,하이랙,60x150 선반(450kg),,30000,하이랙 60x150 선반(450kg),extra_options,,추가상품5 (450kg 블루+오렌지 기둥 및 선반추가)
하이랙-60x200기둥450kg-,하이랙,60x200 기둥(450kg),,41000,하이랙 60x200 기둥(450kg),extra_options,,추가상품5 (450kg 블루+오렌지 기둥 및 선반추가)
하이랙-60x200선반450kg-,하이랙,60x200 선반(450kg),,35500,하이랙 60x200 선반(450kg),extra_options,,추가상품5 (450kg 블루+오렌지 기둥 및 선반추가)
하이랙-60x250기둥450kg-,하이랙,60x250 기둥(450kg),,43000,하이랙 60x250 기둥(450kg),extra_options,,추가상품5 (450kg 블루+오렌지 기둥 및 선반추가)
하이랙-로드빔-108270kg,하이랙,로드빔(108),108 270kg,0,하이랙 로드빔(108) 108 270kg,highrack_generated,,
하이랙-로드빔-108450kg,하이랙,로드빔(108),108 450kg,0,하이랙 로드빔(108) 108 450kg,highrack_generated,,
하이랙-로드빔-108600kg,하이랙,로드빔(108),108 600kg,0,하이랙 로드빔(108) 108 600kg,excel_generated,,
하이랙-로드빔-150270kg,하이랙,로드빔(150),150 270kg,0,하이랙 로드빔(150) 150 270kg,highrack_generated,,
하이랙-로드빔-150450kg,하이랙,로드빔(150),150 450kg,0,하이랙 로드빔(150) 150 450kg,highrack_generated,,
하이랙-로드빔-150600kg,하이랙,로드빔(150),150 600kg,0,하이랙 로드빔(150) 150 600kg,excel_generated,,
하이랙-로드빔-200270kg,하이랙,로드빔(200),200 270kg,0,하이랙 로드빔(200) 200 270kg,highrack_generated,,
하이랙-로드빔-200450kg,하이랙,로드빔(200),200 450kg,0,하이랙 로드빔(200) 200 450kg,highrack_generated,,
하이랙-로드빔-200600kg,하이랙,로드빔(200),200 600kg,0,하이랙 로드빔(200) 200 600kg,excel_generated,,






